lat,lon,univ_research_count_5000m
22.5753205,88.3600377,4
22.5816619,113.0761073,2
22.587892,113.9331002,3
22.5884118,120.3217412,3
22.594922,113.9874734,6
22.5953206,113.9720663,6
22.5977588,113.9859982,6
22.6015562,88.4187303,25
22.6020959,72.8204535,3
22.603603,113.9968497,5
22.6105576,75.6790283,0
22.6116182,120.300159,4
22.6142518,120.3722709,1
22.6203348,120.3120375,4
22.6280059,120.2662241,2
22.6286412,113.9297268,1
22.6331893,88.4301428,3
22.6430237,120.6100056,1
22.6477903,120.3102392,4
22.6486791,114.0606506,1
22.6524124,114.055743,1
22.6536475,75.8220579,18
22.6646986,75.7999245,16
22.6806157,110.1908397,4
22.6878129,114.2104425,4
22.6910685,114.207366,4
22.7191072,88.4826229,2
22.7203616,75.8681996,7
22.7270551,120.4063525,1
22.7317524,88.4990443,2
22.732078,120.2851662,5
22.7381718,88.4566792,3
22.74913,71.7027655,1
22.7546969,113.6164614,1
22.7547493,113.9410669,3
22.7584675,88.3961163,6
22.7618308,-103.5789397,0
22.773978,120.4025017,1
22.7758993,86.1478023,0
22.7782596,108.0977925,0
22.782952,58.5220314,2
22.7864877,120.4057742,1
22.786758,113.5163322,0
22.7895826,113.9474023,3
22.7966285,86.1844723,0
22.7993363,113.9484996,3
22.8014444,89.5342366,3
22.8015194,86.2029579,0
22.8157737,108.318024,10
22.8400629,88.6630678,0
22.8422383,88.6556742,0
22.8472107,108.2913482,19
22.859724,88.3679591,0
22.8819965,113.4576872,1
22.9387253,113.3785422,0
