wikidata_id,lat,lon,osm_relation_id,country_qid
Q13024187,11.717676,99.756404,,Q869
Q7566994,44.3206,-96.7644,,Q30
Q5877661,37.940661111,-3.79025,,Q29
Q6952426,37.4089,-122.0622,,Q30
Q7523109,1.28911111,103.78102778,,Q334
Q10902331,40.118343,116.476166,,Q148
Q16975637,40.091111111,-88.240166666,,Q30
Q13931398,50.6330372,3.020054,,Q142
Q7061528,52.6239,1.22395,,Q145
Q18588981,53.343,-2.6405,,Q145
Q15267784,39.5161,-0.42233,,Q29
Q4859845,41.384214,2.193572,,Q29
Q12256363,43.2925,-1.985,,Q29
Q18932960,51.9764,5.647,,Q55
Q4354195,35.2236,139.674,,Q17
Q5269620,19.1078,73.0137,,Q668
Q11940149,41.3815,2.11824,,Q29
Q7692579,-31.9973,115.891,,Q408
Q7896520,40.7578,-111.827,,Q30
Q10345370,-21.148198,-47.857789,,Q155
Q7232208,51.134,-1.70159,,Q145
Q7107027,59.94194444,10.71666667,,Q20
Q6036172,30.426,-84.323,,Q30
Q10422767,65.6174142,22.1280032,,Q34
Q4811018,52.488,-1.886,,Q145
Q5194123,34.7237,-86.6478,18502557,Q30
Q139479766,51.883,-8.549,,Q27
Q114167851,56.461839,-3.0506173,,Q145
Q55412048,18.852972222,98.957944444,,Q869
Q108479437,49.2279,16.5776,,Q213
Q63420968,43.421738,-5.8231215,,Q29
Q118107423,24.61895,94.01788,,Q668
Q22058798,28.5134,-80.6739,,Q30
Q114167853,57.22365,-2.3438953,,Q145
Q124248423,65.05896,25.45332,,Q33
Q59535539,46.796835,-71.31623,,Q16
Q59261325,48.335673,14.323613,,Q40
Q115707655,44.520469333,11.359949659,,Q38
Q43967769,45.659596,9.653242,,Q38
Q112122648,55.693406,37.516342,,Q159
Q118310222,59.8442,17.6409,,Q34
Q56293747,46.477777777,11.330277777,,Q38
Q17030796,28.222556,112.899374,,Q148
Q28650892,22.521035893,114.079606361,,Q148
Q62056417,-24.620317,-53.711589,,Q155
Q97189984,62.787424,22.820807,,Q33
Q124312214,58.7694593,17.3873526,,Q34
Q114167849,57.188791,-2.0828729,,Q145
Q109331484,55.699,12.556,,Q35
Q139947683,50.984375,5.78908682,,Q55
Q126173085,51.27894,-0.79095,,Q145
Q25105169,22.6586,114.0466,,Q148
Q124042871,54.576016666,-1.102805555,,Q145
Q29520561,-25.435569,-54.59534,,Q155
Q109906735,49.7237664,13.3361453,,Q213
Q106637552,38.681635,27.312246,,Q43
Q139913700,51.403459,6.1231184,,Q55
Q66731098,40.514542,-3.337953,,Q29
Q135036739,-26.1947326,28.0323773,,Q258
Q29789835,48.161466,17.168691,,Q214
Q115942856,48.0170161,7.829253,,Q183
Q140007272,50.882725,5.97295761,,Q55
Q83213564,51.825,5.82,,Q55
Q65127945,45.518611111,9.106666666,4816893,Q38
Q131220705,38.382318778,-0.524915633,,Q29
Q55750607,43.847,10.977194444,,Q38
Q114167848,57.615639,-3.570898,,Q145
Q63057631,50.728722222,14.006444444,,Q213
Q28683746,35.538227777,139.761577777,,Q17
Q138528013,42.816306885,-1.601338863,,Q29
Q124635430,28.523568251,-13.892855644,,Q29
Q93049675,43.331836358,-8.393519627,,Q29
Q134063383,50.835632,5.71313739,,Q55
Q140289253,30.251764,130.593371,,Q17
Q119438225,53.9489,-1.0457,,Q145
Q84360660,39.862444444,32.735916666,,Q43
Q27702619,51.285251,1.341575,,Q145
Q30296087,48.1891,16.4026,,Q40
Q91736678,52.11942,5.19105,,Q55
Q28415497,22.928611111,120.294444444,,Q865
Q48809369,45.696917,9.035417,,Q38
Q131481206,30.486146669,-84.150036515,,Q30
Q53588580,-23.650646,-46.621845,,Q155
Q98168875,28.468194444,-16.297222222,,Q29
Q134884779,31.07296,120.974394,,Q148
Q65195550,59.350444,18.022722,,Q34
