draw,n,treated,irr,model_p,perm_p,prod_irr,prod_p,cap10_irr,cap10_p,cap10_perm_p,cap10_n,clause1,clause2,clause3,clause4
0,2137,153,1.1010549534987673,0.2519743266512855,0.3756243756243756,1.0458234975657301,0.4900580949654524,1.066317926072062,0.44104262675504813,0.5414585414585414,2070,False,False,False,False
1,2161,170,1.1056948337486163,0.2106176747813706,0.2947052947052947,1.1354351116458483,0.04314059788053032,1.0880426111915937,0.29906428599170964,0.39760239760239763,2106,False,False,True,False
2,2172,153,1.027898502099231,0.7463172252546985,0.7822177822177823,1.0108972363545086,0.8710952427546848,0.9813637316074244,0.8234904979074997,0.8541458541458542,2109,False,False,False,False
3,2296,161,1.292910290687006,0.0025945659371342284,0.028971028971028972,1.279778101643876,0.0007754402262546236,1.0877020535910806,0.3301720042659544,0.46353646353646355,2179,True,True,True,False
4,2228,168,1.1899825555420949,0.03679116580497281,0.0959040959040959,1.1743928450700973,0.024338135318740583,1.0988367069673126,0.25482725901967906,0.3726273726273726,2130,True,False,True,False
5,2193,162,1.1009722461519855,0.25847444147432375,0.3826173826173826,1.0759463364132804,0.2830096214038921,1.1307654950438775,0.14504333735641894,0.2807192807192807,2133,False,False,False,False
6,2203,172,1.3383075457917126,0.0005679370409583844,0.011988011988011988,1.3799288671740635,1.3675485364375594e-05,1.1528540205311133,0.08127675882727135,0.2077922077922078,2107,True,True,True,False
7,2130,135,1.3394004636223338,0.001401870358897929,0.017982017982017984,1.099985618823761,0.19593880196557212,1.3121778836646179,0.0023960900446171993,0.025974025974025976,2049,True,True,False,True
8,2088,154,1.0061705527332876,0.9429755509855682,0.961038961038961,0.9395216550107491,0.3169404309232473,1.0252602822373533,0.7689940136269864,0.8151848151848152,2047,False,False,False,False
9,2242,165,1.2304693588062634,0.012836510945289164,0.04395604395604396,1.1466376202292403,0.056328005179641774,1.1981816953683846,0.028436776816564768,0.0989010989010989,2121,True,True,False,False
10,2190,157,1.2028810924750064,0.027222486061529674,0.08591408591408592,1.152271624511678,0.03225691656070018,1.0691988544630058,0.4372164713776454,0.5494505494505495,2129,True,False,True,False
11,2241,157,1.214464272063598,0.029171967916810662,0.0999000999000999,1.2102625089491554,0.013214290456741178,1.0484470822204475,0.5797798087703471,0.6353646353646354,2150,True,False,True,False
12,2210,154,1.3485611891728735,0.0007327077107469423,0.013986013986013986,1.315798711513653,0.0003799135382535042,1.1661124750288274,0.0728967672710758,0.17782217782217782,2107,True,True,True,False
13,2178,154,1.1666054121011713,0.08043652651846314,0.2137862137862138,1.192761674194416,0.018418874510950135,1.0563345292709374,0.5137713140969373,0.6273726273726273,2110,False,False,True,False
14,2226,153,1.2492464639915262,0.009212302892237761,0.03296703296703297,1.1251219667473005,0.0909301655904957,1.2016427339035685,0.028800208239109424,0.08791208791208792,2125,True,True,False,False
15,2142,155,1.1498264052681828,0.11252999928142936,0.2087912087912088,1.1182360773599125,0.13646061637566656,1.0544243258046724,0.536175222937356,0.6083916083916084,2076,False,False,False,False
16,2187,158,1.0283838213730137,0.7446242498692938,0.8141858141858141,0.9382832325329602,0.3787723970801513,1.119783094904661,0.17166767896129476,0.3386613386613387,2099,False,False,False,False
17,2118,159,0.9486413122447402,0.5307120666831973,0.6013986013986014,1.0000875902924524,0.9989649951993955,0.9645614224253564,0.6605032037680658,0.7222777222777222,2066,False,False,False,False
18,2201,137,1.3793952988666884,0.0002701085004555166,0.004995004995004995,1.2103134361889267,0.008168839001865385,1.2573562237017866,0.00927237413241695,0.04595404595404595,2111,True,True,True,True
19,2204,152,1.2423635098268564,0.011910898539244838,0.06293706293706294,1.225586846221596,0.0022952200744452453,1.0882284786941672,0.316508796916776,0.43156843156843155,2133,True,False,True,False
20,2269,157,1.0844173378206277,0.3529910218373761,0.46853146853146854,1.0638641142315666,0.4033947411166906,0.9930918341729672,0.9336648603057607,0.936063936063936,2173,False,False,False,False
21,2224,163,1.1700245901722142,0.060548079577198446,0.13286713286713286,1.1516329618494303,0.0412982843080151,1.096603740384692,0.26343954029505345,0.4045954045954046,2152,False,False,True,False
22,2243,154,1.1325129057171228,0.15914173339357707,0.3076923076923077,1.107126536541891,0.16600166366701263,1.022301687149142,0.7928526625906134,0.8421578421578422,2152,False,False,False,False
23,2182,158,1.0970692197647394,0.2712951931805996,0.42157842157842157,1.073953185260812,0.25041966122910964,1.104809933560112,0.22993998514613256,0.3986013986013986,2148,False,False,False,False
24,2105,136,1.2724821818592293,0.005716210317018757,0.03696303696303696,1.1216966414141298,0.09975159253164607,1.2607725199852438,0.006863432116944024,0.03996003996003996,2045,True,True,False,True
25,2166,176,1.239506049952117,0.009557000344690906,0.04995004995004995,1.254254489624732,0.0006255673926229647,1.1940073973244643,0.023263464064857464,0.0969030969030969,2077,True,True,True,False
26,2131,137,1.1375347307092332,0.14960839048030705,0.26173826173826176,0.9928673103710625,0.9156712420276167,1.1385703541209033,0.1403318470713587,0.2977022977022977,2092,False,False,False,False
27,2206,165,1.2428371856515037,0.008876157770650143,0.03196803196803197,1.3522971140405113,1.569169654905434e-05,1.0904489342390264,0.30056977649336436,0.42857142857142855,2119,True,True,True,False
28,2159,130,0.9619746989363873,0.6714808807630934,0.7652347652347652,0.9247369449682342,0.2629269321502056,0.9995800199204381,0.9962923247719134,0.997002997002997,2092,False,False,False,False
29,2153,139,1.0994963198988958,0.2827403623392144,0.3776223776223776,0.9017625081992481,0.1443690359832781,1.0891797191113988,0.32068995278881496,0.4325674325674326,2085,False,False,False,False
30,2116,163,1.0007047984422524,0.9932278112010171,0.997002997002997,1.0659773616306116,0.3449715482314838,0.9872860097755763,0.8768422075604577,0.8961038961038961,2055,False,False,False,False
31,2197,174,1.1242855952368154,0.15114061552594596,0.27472527472527475,1.085438462270759,0.21902216747778236,1.1507278667372123,0.07545571299341983,0.16483516483516483,2120,False,False,False,False
32,2137,116,1.1235744143008397,0.22251649471800183,0.34965034965034963,1.002443310984503,0.9734688574606424,1.1227892550584964,0.22535462217320523,0.3856143856143856,2082,False,False,False,False
33,2237,157,1.05037453656095,0.5765049822023334,0.6533466533466533,0.9628778741957488,0.601338948349958,1.081976912936379,0.3426973653352716,0.46153846153846156,2157,False,False,False,False
34,2172,142,1.2982734224342918,0.0029651576272778355,0.014985014985014986,1.2674497458113263,0.0006481522728146358,1.1594597052063018,0.09309252456958486,0.1878121878121878,2116,True,True,True,False
35,2239,148,1.027280368085637,0.7550626011486012,0.8221778221778222,0.9691366014220987,0.6239552315729995,1.0614713380596512,0.485373226640593,0.6203796203796204,2203,False,False,False,False
36,2140,164,1.0603646151566575,0.4760171121559914,0.5514485514485514,1.0538957397605537,0.3743346635808782,1.0675171895295221,0.4281765822241772,0.5184815184815185,2108,False,False,False,False
37,2174,149,0.9134337015310962,0.29712693955199676,0.38461538461538464,0.8717840146341279,0.04220031173962265,1.0079437138632514,0.9249147197572468,0.935064935064935,2113,False,False,False,False
38,2135,158,1.1664426488684558,0.0712768566702119,0.15884115884115885,1.2393691344319007,0.0015753424024953096,1.100810223295264,0.2614798621911443,0.38161838161838163,2085,False,False,True,False
39,2204,155,1.2401768103623543,0.012932528657189215,0.07492507492507493,1.2301696841589163,0.0018903785195810636,1.2015278564908156,0.0309590782872217,0.1028971028971029,2141,True,False,True,False
40,2194,160,1.2177891463990156,0.017638098951071234,0.055944055944055944,1.258606616913474,0.0006633954033306116,1.1138316461696105,0.19741314621972783,0.2967032967032967,2106,True,False,True,False
41,2224,154,1.3662223359133467,0.00021679123194491405,0.005994005994005994,1.3338707189454584,2.3376508394813587e-05,1.2152105744613446,0.020379371215769236,0.09290709290709291,2141,True,True,True,False
